"","X","Title","Author","Subject","Abstract","Meta"
"11",11,"self-supervised backbone framework for diverse agricultural vision tasks","sudhir sornapudi (), rajhans singh () (() corteva agriscience, indianapolis, usa)","computer vision and pattern recognition (cs.cv)","computer vision in agriculture is game-changing with its ability to transform farming into a data-driven, precise, and sustainable industry. deep learning has empowered agriculture vision to analyze vast, complex visual data, but heavily rely on the availability of large annotated datasets. this remains a bottleneck as manual labeling is error-prone, time-consuming, and expensive. the lack of efficient labeling approaches inspired us to consider self-supervised learning as a paradigm shift, learning meaningful feature representations from raw agricultural image data. in this work, we explore how self-supervised representation learning unlocks the potential applicability to diverse agriculture vision tasks by eliminating the need for large-scale annotated datasets. we propose a lightweight framework utilizing simclr, a contrastive learning approach, to pre-train a resnet- backbone on a large, unannotated dataset of real-world agriculture field images. our experimental analysis and results indicate that the model learns robust features applicable to a broad range of downstream agriculture tasks discussed in the paper. additionally, the reduced reliance on annotated data makes our approach more cost-effective and accessible, paving the way for broader adoption of computer vision in agriculture.",2024-03-22
"12",12,"sfod: spiking fusion object detector","yimeng fan, wei zhang, changsong liu, mingyang li, wenrui lu","computer vision and pattern recognition (cs.cv)","event cameras, characterized by high temporal resolution, high dynamic range, low power consumption, and high pixel bandwidth, offer unique capabilities for object detection in specialized contexts. despite these advantages, the inherent sparsity and asynchrony of event data pose challenges to existing object detection algorithms. spiking neural networks (snns), inspired by the way the human brain codes and processes information, offer a potential solution to these difficulties. however, their performance in object detection using event cameras is limited in current implementations. in this paper, we propose the spiking fusion object detector (sfod), a simple and efficient approach to snn-based object detection. specifically, we design a spiking fusion module, achieving the first-time fusion of feature maps from different scales in snns applied to event cameras. additionally, through integrating our analysis and experiments conducted during the pretraining of the backbone network on the ncar dataset, we delve deeply into the impact of spiking decoding strategies and loss functions on model performance. thereby, we establish state-of-the-art classification results based on snns, achieving .\% accuracy on the ncar dataset. experimental results on the gen detection dataset demonstrate that the sfod achieves a state-of-the-art map of .\%, outperforming existing snn-based approaches. our research not only underscores the potential of snns in object detection with event cameras but also propels the advancement of snns. code is available at this https url.",2024-03-22
"13",13,"double cross-fit doubly robust estimators: beyond series regression","alec mcclean, sivaraman balakrishnan, edward h. kennedy, larry wasserman","statistics theory (math.st)","doubly robust estimators with cross-fitting have gained popularity in causal inference due to their favorable structure-agnostic error guarantees. however, when additional structure, such as hölder smoothness, is available then more accurate ""double cross-fit doubly robust"" (dcdr) estimators can be constructed by splitting the training data and undersmoothing nuisance function estimators on independent samples. we study a dcdr estimator of the expected conditional covariance, a functional of interest in causal inference and conditional independence testing, and derive a series of increasingly powerful results with progressively stronger assumptions. we first provide a structure-agnostic error analysis for the dcdr estimator with no assumptions on the nuisance functions or their estimators. then, assuming the nuisance functions are hölder smooth, but without assuming knowledge of the true smoothness level or the covariate density, we establish that dcdr estimators with several linear smoothers are semiparametric efficient under minimal conditions and achieve fast convergence rates in the non-$\sqrt{n}$ regime. when the covariate density and smoothnesses are known, we propose a minimax rate-optimal dcdr estimator based on undersmoothed kernel regression. moreover, we show an undersmoothed dcdr estimator satisfies a slower-than-$\sqrt{n}$ central limit theorem, and that inference is possible even in the non-$\sqrt{n}$ regime. finally, we support our theoretical results with simulations, providing intuition for double cross-fitting and undersmoothing, demonstrating where our estimator achieves semiparametric efficiency while the usual ""single cross-fit"" estimator fails, and illustrating asymptotic normality for the undersmoothed dcdr estimator.",2024-03-22
"14",14,"allhands: ask me anything on large-scale verbatim feedback via large language models","chaoyun zhang, zicheng ma, yuhao wu, shilin he, si qin, minghua ma, xiaoting qin, yu kang, yuyi liang, xiaoyu gou, yajie xue, qingwei lin, saravan rajmohan, dongmei zhang, qi zhang","software engineering (cs.se)","verbatim feedback constitutes a valuable repository of user experiences, opinions, and requirements essential for software development. effectively and efficiently extracting valuable insights from such data poses a challenging task. this paper introduces allhands , an innovative analytic framework designed for large-scale feedback analysis through a natural language interface, leveraging large language models (llms). allhands adheres to a conventional feedback analytic workflow, initially conducting classification and topic modeling on the feedback to convert them into a structurally augmented format, incorporating llms to enhance accuracy, robustness, generalization, and user-friendliness. subsequently, an llm agent is employed to interpret users' diverse questions in natural language on feedback, translating them into python code for execution, and delivering comprehensive multi-modal responses, including text, code, tables, and images.
we evaluate allhands across three diverse feedback datasets. the experiments demonstrate that allhands achieves superior efficacy at all stages of analysis, including classification and topic modeling, eventually providing users with an ``ask me anything'' experience with comprehensive, correct and human-readable response. to the best of our knowledge, allhands stands as the first comprehensive feedback analysis framework that supports diverse and customized requirements for insight extraction through a natural language interface.",2024-03-22
"15",15,"an in-depth analysis of data reduction methods for sustainable deep learning","víctor toscano-durán, javier perera-lago, eduardo paluzo-hidalgo, rocío gonzalez-diaz, miguel ángel gutierrez-naranjo, matteo rucco","machine learning (cs.lg)","in recent years, deep learning has gained popularity for its ability to solve complex classification tasks, increasingly delivering better results thanks to the development of more accurate models, the availability of huge volumes of data and the improved computational capabilities of modern computers. however, these improvements in performance also bring efficiency problems, related to the storage of datasets and models, and to the waste of energy and time involved in both the training and inference processes. in this context, data reduction can help reduce energy consumption when training a deep learning model. in this paper, we present up to eight different methods to reduce the size of a tabular training dataset, and we develop a python package to apply them. we also introduce a representativeness metric based on topology to measure how similar are the reduced datasets and the full training dataset. additionally, we develop a methodology to apply these data reduction methods to image datasets for object detection tasks. finally, we experimentally compare how these data reduction methods affect the representativeness of the reduced dataset, the energy consumption and the predictive performance of the model.",2024-03-22
"16",16,"text clustering with llm embeddings","alina petukhova, joao p. matos-carvalho, nuno fachada","computation and language (cs.cl)","text clustering is an important approach for organising the growing amount of digital content, helping to structure and find hidden patterns in uncategorised data. in this research, we investigated how different textual embeddings - particularly those used in large language models (llms) - and clustering algorithms affect how text datasets are clustered. a series of experiments were conducted to assess how embeddings influence clustering results, the role played by dimensionality reduction through summarisation, and embedding size adjustment. results reveal that llm embeddings excel at capturing the nuances of structured language, while bert leads the lightweight options in performance. in addition, we find that increasing embedding dimensionality and summarisation techniques do not uniformly improve clustering efficiency, suggesting that these strategies require careful analysis to use in real-life models. these results highlight a complex balance between the need for nuanced text representation and computational feasibility in text clustering applications. this study extends traditional text clustering frameworks by incorporating embeddings from llms, thereby paving the way for improved methodologies and opening new avenues for future research in various types of textual analysis.",2024-03-22
"17",17,"chisiec: an information extraction corpus for ancient chinese history","xuemei tang, zekun deng, qi su, hao yang, jun wang","computation and language (cs.cl)","natural language processing (nlp) plays a pivotal role in the realm of digital humanities (dh) and serves as the cornerstone for advancing the structural analysis of historical and cultural heritage texts. this is particularly true for the domains of named entity recognition (ner) and relation extraction (re). in our commitment to expediting ancient history and culture, we present the ``chinese historical information extraction corpus''(chisiec). chisiec is a meticulously curated dataset designed to develop and evaluate ner and re tasks, offering a resource to facilitate research in the field. spanning a remarkable historical timeline encompassing data from  dynasties spanning over  years, chisiec epitomizes the extensive temporal range and text heterogeneity inherent in chinese historical documents. the dataset encompasses four distinct entity types and twelve relation types, resulting in a meticulously labeled dataset comprising , entities and , relations. to establish the robustness and versatility of our dataset, we have undertaken comprehensive experimentation involving models of various sizes and paradigms. additionally, we have evaluated the capabilities of large language models (llms) in the context of tasks related to ancient chinese history. the dataset and code are available at \url{this https url}.",2024-03-22
"18",18,"gtagcn: generalized topology adaptive graph convolutional networks","sukhdeep singh, anuj sharma, vinod kumar chauhan","machine learning (cs.lg)","graph neural networks (gnn) have emerged as a popular and standard approach for learning from graph-structured data. the literature on gnn highlights the potential of this evolving research area and its widespread adoption in real-life applications. however, most of the approaches are either new in concept or derived from specific techniques. therefore, the potential of more than one approach in hybrid form has not been studied extensively, which can be well utilized for sequenced data or static data together. we derive a hybrid approach based on two established techniques as generalized aggregation networks and topology adaptive graph convolution networks that solve our purpose to apply on both types of sequenced and static nature of data, effectively. the proposed method applies to both node and graph classification. our empirical analysis reveals that the results are at par with literature results and better for handwritten strokes as sequenced data, where graph structures have not been explored.",2024-03-22
"19",19,"comprehensive lipidomic automation workflow using large language models","connor beveridge, sanjay iyer, caitlin e. randolph, matthew muhoberac, palak manchanda, amy c. clingenpeel, shane tichy, gaurav chopra","quantitative methods (q-bio.qm)","lipidomics generates large data that makes manual annotation and interpretation challenging. lipid chemical and structural diversity with structural isomers further complicates annotation. although, several commercial and open-source software for targeted lipid identification exists, it lacks automated method generation workflows and integration with statistical and bioinformatics tools. we have developed the comprehensive lipidomic automated workflow (claw) platform with integrated workflow for parsing, detailed statistical analysis and lipid annotations based on custom multiple reaction monitoring (mrm) precursor and product ion pair transitions. claw contains several modules including identification of carbon-carbon double bond position(s) in unsaturated lipids when combined with ozone electrospray ionization (ozesi)-mrm methodology. to demonstrate the utility of the automated workflow in claw, large-scale lipidomics data was collected with traditional and ozesi-mrm profiling on biological and non-biological samples. specifically, a total of  transitions organized into  mrm-based mass spectrometry methods were used to profile lipid droplets isolated from different brain regions of - month-old alzheimer's disease mice and age-matched wild-type controls. additionally, triacyclglycerols (tgs) profiles with carbon-carbon double bond specificity were generated from canola oil samples using ozesi-mrm profiling. we also developed an integrated language user interface with large language models using artificially intelligent (ai) agents that permits users to interact with the claw platform using a chatbot terminal to perform statistical and bioinformatic analyses. we envision claw pipeline to be used in high-throughput lipid structural identification tasks aiding users to generate automated lipidomics workflows ranging from data acquisition to ai agent-based bioinformatic analysis.",2024-03-22
"20",20,"construction of a japanese financial benchmark for large language models","masanori hirano","computational finance (q-fin.cp)","with the recent development of large language models (llms), models that focus on certain domains and languages have been discussed for their necessity. there is also a growing need for benchmarks to evaluate the performance of current llms in each domain. therefore, in this study, we constructed a benchmark comprising multiple tasks specific to the japanese and financial domains and performed benchmark measurements on some models. consequently, we confirmed that gpt- is currently outstanding, and that the constructed benchmarks function effectively. according to our analysis, our benchmark can differentiate benchmark scores among models in all performance ranges by combining tasks with different difficulties.",2024-03-22
"21",21,"a nonvariational form of the neumann problem for hölder continuous harmonic functions","m. lanza de cristoforis","analysis of pdes (math.ap)","we present a nonvariational setting for the neumann problem for harmonic functions that are hölder continuous and that may have infinite dirichlet integral. then we introduce a space of distributions on the boundary (a space of first order traces for hölder continuous harmonic functions), we analyze the properties of the corresponding distributional single layer potential and we prove a representation theorem for harmonic hölder continuous functions in terms of distributional single layer potentials. as an application, we solve the interior and exterior neumann problem with distributional data in the space of first order traces that has been introduced.",2024-03-22
"22",22,"perturbations in pde-constrained optimal control decay exponentially in space","simone göttlich, manuel schaller, karl worthmann","optimization and control (math.oc)","for linear-quadratic optimal control problems (ocps) governed by elliptic and parabolic partial differential equations (pdes), we investigate the impact of perturbations on optimal solutions. local perturbations may occur, e.g., due to discretization of the optimality system or disturbed problem data. whereas these perturbations may exhibit global effects in the uncontrolled case, we prove that the ramifications are exponentially damped in space under stabilizability- and detectability-like conditions. to this end, we prove a bound on the optimality condition's solution operator that is uniform in the domain size. then, this uniformity is used in a scaling argument to show the exponential decay of perturbations in space. we numerically validate and illustrate our results by solving ocps involving helmholtz, poisson, and advection-diffusion-reaction equations.",2024-03-22
"23",23,"estimation of multiple mean vectors in high dimension","gilles blanchard (lmo, datashape), jean-baptiste fermanian (lmo), hannah marienwald (bifold, tu)","machine learning (stat.ml)","we endeavour to estimate numerous multi-dimensional means of various probability distributions on a common space based on independent samples. our approach involves forming estimators through convex combinations of empirical means derived from these samples. we introduce two strategies to find appropriate data-dependent convex combination weights: a first one employing a testing procedure to identify neighbouring means with low variance, which results in a closed-form plug-in formula for the weights, and a second one determining weights via minimization of an upper confidence bound on the quadratic risk.through theoretical analysis, we evaluate the improvement in quadratic risk offered by our methods compared to the empirical means. our analysis focuses on a dimensional asymptotics perspective, showing that our methods asymptotically approach an oracle (minimax) improvement as the effective dimension of the data increases.we demonstrate the efficacy of our methods in estimating multiple kernel mean embeddings through experiments on both simulated and real-world datasets.",2024-03-22
"24",24,"ellipsoidal embeddings of graphs","michaël fanuel, antoine aspeel, michael t. schaub, jean-charles delvenne","social and information networks (cs.si)","due to their flexibility to represent almost any kind of relational data, graph-based models have enjoyed a tremendous success over the past decades. while graphs are inherently only combinatorial objects, however, many prominent analysis tools are based on the algebraic representation of graphs via matrices such as the graph laplacian, or on associated graph embeddings. such embeddings associate to each node a set of coordinates in a vector space, a representation which can then be employed for learning tasks such as the classification or alignment of the nodes of the graph. as the geometric picture provided by embedding methods enables the use of a multitude of methods developed for vector space data, embeddings have thus gained interest both from a theoretical as well as a practical perspective. inspired by trace-optimization problems, often encountered in the analysis of graph-based data, here we present a method to derive ellipsoidal embeddings of the nodes of a graph, in which each node is assigned a set of coordinates on the surface of a hyperellipsoid. our method may be seen as an alternative to popular spectral embedding techniques, to which it shares certain similarities we discuss. to illustrate the utility of the embedding we conduct a case study in which analyse synthetic and real world networks with modular structure, and compare the results obtained with known methods in the literature.",2024-03-22
