"","Name","Price","Rating","Reviews"
"14","Crochet Kits for Beginners Adults - Beginners Crochet Kit for Adults & Kids - 73 Pcs Crochet Set - Knitting Starter Kit Includes Ergonomic Crochet Hooks Sets, Yarn, Crochet Bag & More  ",NA,"30","4.0 out of 5 stars"
"15","Crochet Hooks, 4 Pcs Multicolor Aluminum Knitting Needles, Crochet Hooks Set for Beginners or Professionals  ",NA,"1,293","4.8 out of 5 stars"
"16","Crochet Hooks Set 47 Pack, 14 Pcs Colorful Ergonomic Comfort Rubber Soft Grip Crochet Needles, Crochet Hooks Sets for Beginners Adults,Sister Gift, Knitting Tools with Portable Case,Size 2mm to 10mm  ",NA,"280","4.2 out of 5 stars"
"17","The Quilted Bear Crochet Hook Set - Premium Soft Grip Floral Hooks with Ergonomic Polymer Clay Handle 12 (2mm, 2.5mm, 3mm, 3.5mm, 4mm, 4.5mm, 5mm, 5.5mm, 6mm, 6.5mm, 7mm & 8mm)  ",NA,"1,436","4.6 out of 5 stars"
"18","Coopay Crochet Set, Crochet Kits for Beginners Adults With Wool and Pattern, Knitting Starter Kit for Adults Kids, Starter Crochet Kit, Best Crochet Kits for Beginners Kids, Knitting Set  ",NA,"962","4.5 out of 5 stars"
"19","YUXIANLB 4pcs Knitting Crochet Loop Ring for Fingers Metal Open Yarn Guide Crochet Rings Adjustable Braided Faster Knitting Thimbles Holders Accessories for Crochet Mother Grandma Gifts(Cat Style)  ",NA,"307","4.6 out of 5 stars"
"20","ZGTS Crochet Hooks Set, 9PCS Aluminum Knitting Needles Kit Ergonomic Soft Grip Handle for Arthritic Hands with Measuring Tape Stitch Markers and Sewing Needles  ",NA,"469","4.4 out of 5 stars"
"21","Sibba Adjustable Hook Knitting Crochet Supplies Accessories 4 Pcs Opening Finger Thimble Yarn Holder Loop Ring Crocheting Counter Kit Stitch Peacock Pattern Markers Tags Pins for Hand Weaving  ",NA,"32","4.6 out of 5 stars"
"22","Jatidne 120PCS Stitch Markers Crochet Knitting with Compartment Box Stitch Needle Clip 10 Colors (Box Package)  ",NA,"2,166","4.5 out of 5 stars"
"23","Aeelike Crochet Kits for Beginners Adults, Knitting Starter Kit for Adults, Include 0.6-6.0 mm Metal Crochet Hooks, Wool, Case and Knitting Accessories, Crochet Hook Set Kids, Crochet Starter Kit UK  ",NA,"100","4.3 out of 5 stars"
"24","Purple Knit Counter Knitting Crochet Stitch Marker Row Counter,Finger Digital Counter,Stitch counters for Crocheting,Finger Counter  ",NA,"1,148","4.6 out of 5 stars"
"25","LAMXD Knit Counter Knitting Crochet Stitch Marker Row Counter,Finger Digital Counter,Stitch counters for Crocheting,Finger Counter with 20pcs Stitch Marker(Random Color)  ",NA,"155","4.5 out of 5 stars"
"26","11 Pcs Set of 80cm Stainless Steel Loop Knitting Sweater Needles, Knitting Needles Round Crocheting (with Leather case)  ",NA,"485","4.6 out of 5 stars"
"27","Coopay Crochet Starter Kit for Beginners Adults, Includes Ergonomic Metal Crochet Hooks 0.6mm to 6mm, Accessories and Cactus Case, Knitting Set with Wool and Needles  ",NA,"1,496","4.7 out of 5 stars"
"28","Mardili Handcrafted Red Oak Planks Wooden Knitting and Crochet Blocking Boards Mat with Grids (Full Kit with 30 4-inches Stainless Steel Rod Pins, Stand Included) (9.5 inches)  ",NA,"3","4.6 out of 5 stars"
"29","KOKNIT All Inclusive Craft Knitting Starter Kit, Professional Handmade Tools Set Includes Knitting Needles, Crochet Hook, Accessories and Storage Case for Adults and Kids  ",NA,"417","4.6 out of 5 stars"
"30","Coopay Crochet Kits for Beginners Kids, Knitting Kit with Wool, Crochet Kits with Yarn, Crochet Hooks Set for Beginners Adults, Beginners Crochet Kit, Crochet Starter Kit, Crochet Gift for Child  ",NA,NA,"4 Stars & Up"
"31","Row Counter and Crochet Stitch Marker Set Includes Electronic Stitch Row Counter Knit Counter Ring, 9 Large Eye Blunt Sewing Needle, 40 Knitting Crochet Locking Stitch Marker Colorful Needle Clip  ",NA,NA,"3 Stars & Up"
"32","Knitiss Crochet Kits for Beginners with Knitting Yarn, Ergonomic Crochet Hooks 0.5mm to 8.0mm with Case  ",NA,NA,"2 Stars & Up"
"33","Crochet Blocking Board, Wooden Crochet Blocking Board and 30 Pins, Blocking Boards for Crochet and Knitting Projects, Crochet Frame Blocking Mats  ",NA,NA,"1 Star & Up"
"34","11PCS Tunisian Crochet Hook Set Aluminum Multicolor Afghan Knitting Needles Set 2 mm to 8 mm for Sweater Knit Tool  ",NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,NA,NA
"38",NA,NA,NA,NA
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,NA,NA,NA
"51","ALinmo 43200pcs 72 Colors 2mm Glass Seed Beads for Bracelet Making Kit, Small Beads for Jewelry Making with Letter Beads for Crafts Gifts  ",NA,"228","4.2 out of 5 stars"
"52","Clay Beads 8000 Pcs 2 Boxes Bracelet Making Kit - 24 Colors Polymer Clay Beads for Bracelet Making Set - Heishi Disc Beads for Jewelry Making kit with Charms and Gift Pack for Girls  ",NA,"705","4.7 out of 5 stars"
"53","Qpout Jewelry Making Kit, Jewelry Making Supplies, Variety Jewelry Making Findings Charm Beads, Pliers Beading Wire for Bracelet, Necklace, Earrings Making Tool, Great Gift for Girls Women Beginners  ",NA,"308","4.5 out of 5 stars"
"54","Fournine 5300 pcs Clay Beads Bracelet Making Kit, Friendship Bracelet Kits Flat Beads for Jewelry Making, Polymer Heishi Beads Set for Bracelet Necklace DIY Crafts Gift for Teen Girls  ",NA,"543","4.5 out of 5 stars"
"55","Colle 418pcs Crystal Stone Beads, 8mm Round Crystal Beads Jewellery Making Kit Natural Stone Beads for Bracelet Necklace Making, Gemstone Beading, DIY Crafts Kit  ",NA,"1,599","4.6 out of 5 stars"
"56","Grevosea Knotting Tool Create Secure Knots Pearl Jewelry Making Tool Knotters Tool Beading Tools for DIY Jewelry Stringing Pearls and Other Beads  ",NA,"84","3.8 out of 5 stars"
"57","5 Sizes Bead Needle, Steel Big Eye Beading Needles with Storage Bottle for Jewelry Making, DIY Beading (12.6cm, 11.4cm, 10.1cm, 7.5cm, 5.8cm)  ",NA,"115","4.1 out of 5 stars"
"58","Kuuqa Jewelry Making Kit Jewelry Findings Starter Kit Jewelry Beading Making and Repair Tools Kit  ",NA,"5,320","4.4 out of 5 stars"
"59","Moyofree 6380Pcs Clay Beads Kit, 28 Colors Flat Round Polymer Clay Beads for Jewelry Making, 6mm Heishi Clay Spacer Beads for Bracelet Necklace Earring DIY with Letter Beads for Kids Adults  ",NA,"1,288","4.5 out of 5 stars"
"60","0.5mm Clear Elastic Thread Stretchy Elastic For Bracelet Making Bracelet Clear Elastic For Jewellery Making Elasticated String Bracelets Necklace Beading Decorations Jewellery (0.5mm x 20m - 1 Spool)  ",NA,"1,225","4.3 out of 5 stars"
"61","Jewellery Pliers - Reastar 3 PCS Pliers for Jewellery Making, Jewellery Making Tools with Jump Ring Opener - for Jewelry Beading Cutting Wrapping and DIY Craft Supplies  ",NA,"1,002","4.5 out of 5 stars"
"62","1mm x 100m/328 ft Elastic Cord, Elastic Beading String Cord, Elastic Braided Thread String Cord for DIY Craft Jewellery Bracelet Necklaces Making - White  ",NA,"54","4.5 out of 5 stars"
"63","12 Pcs Clear Elastic Thread, 8mx0.8mm Crystal Beading Stretch Strings, Jewellry Bracelet Making Cords, Invisible Bead Thread String for DIY Jewellery Bracelet Necklace Making  ",NA,"48","4.5 out of 5 stars"
"64","TOAOB 784Pcs Beginner Jewellery Making Kits Silver Plated Jewelry Findings Kit Jewelry Beading Making and Repair Kit  ",NA,"960","4.5 out of 5 stars"
"65","HandmadeAndProud 0.5mm Premium Round Waxed Cord Thread Beading String for Jewellery Making Thread (White)  ",NA,"245","4.5 out of 5 stars"
"66","DSLSQD Bead Knotting Tool, Create Safety Knots for DIY Jewelry Pearl Beading and Other Decorative Bead Knotting Tools for Jewelry Making and Beading Supplies  ",NA,"3","4.6 out of 5 stars"
"67","PandaHall 60 Feet Tarnish Resistant Copper Wire 22 Gauge Jewelry Beading Craft Wire for Jewelry Making (Silver)  ",NA,"268","4.7 out of 5 stars"
"68","PH PandaHall 8pcs/Set Beading Tool Kit, Jewellery Making Tool Kit Jewellery Beading Repair and Making Tools Kit with Storage Case for Jewellery Making and Repairing Jewellery  ",NA,"116","4.4 out of 5 stars"
"69","8500+ Pcs Bracelet Kit,Multi-Colors Clay Beads for Jewellery Making, Clay Beads Bracelet Making Kit for Bracelet Necklace Earring DIY, Clay Flat Beads for Kids Adults  ",NA,"14","4.8 out of 5 stars"
"70","6 Rolls Bracelet Elastic, 8m×0.8mm Clear Elastic for Bracelet Making,Strong & Stretchy Elastic String Clear Elastic Beading Thread with Cutter for Jewellery making Beading & DIY Craft Projects  ",NA,"187","4.4 out of 5 stars"
"71","EuTengHao Beading Kit for Jewelry Making,Bracelets Beads kit for Women Adult with 1685Pcs Colorful Acrylic Bead Frosted Beads Small Seed Beads Spacer Beads for Bracelets Necklace Jewelry Making Kit  ",NA,"12","4.8 out of 5 stars"
"72","TOAOB 105 Metres Waxed Cotton Cords Mixed Colors Thread Beading Strings 1mm for Jewellery Making Craft Decoration  ",NA,"416","4.4 out of 5 stars"
"73","27340pcs Beads for Bracelet Making Kit, 36 Colors 2mm Glass Seed Beads for Jewellery Making, Small Bead Making Set with Letter Bead, DIY Crafts Gift for Teen Girls  ",NA,"14","4.6 out of 5 stars"
"74","SUNNYCLUE 1 Box DIY 6 Set Turtle Beads Beading Bracelet Making Kit Tortoise Charms Summer Hawaii Ocean Starfish Seahorse Charm Sea Shell Charms for jewellery Making Kit Adult Women Handmade Craft  ",NA,"236","4.4 out of 5 stars"
"75",NA,NA,NA,"4 Stars & Up"
"76",NA,NA,NA,"3 Stars & Up"
"77",NA,NA,NA,"2 Stars & Up"
"78",NA,NA,NA,"1 Star & Up"
"79",NA,NA,NA,NA
"80",NA,NA,NA,NA
"81",NA,NA,NA,NA
"82",NA,NA,NA,NA
"83",NA,NA,NA,NA
"84",NA,NA,NA,NA
"85",NA,NA,NA,NA
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",NA,NA,NA,NA
"89",NA,NA,NA,NA
"90",NA,NA,NA,NA
"91",NA,NA,NA,NA
"92",NA,NA,NA,NA
"93",NA,NA,NA,NA
"94",NA,NA,NA,NA
"95",NA,NA,NA,NA
"96",NA,NA,NA,NA
"97",NA,NA,NA,NA
"98",NA,NA,NA,NA
"99","WestonBoxes A4 Plastic Craft Storage Boxes with Lids for Art Supplies, Paper and Card - 3.6 Litre Volume (Clear, Pack of 5)  ",NA,"1,408","4.8 out of 5 stars"
"100","edukit Arts and Craft for Kids 1500 Pieces, Including Pipe Cleaners, Pom Poms, Sticky Gems, Googly Eyes, Foam Sheets, Feathers, Tissue and Craft paper, Matchsticks in Various Sizes and Colours  ",NA,"882","4.7 out of 5 stars"
